term,estimate,robust_se,t_value,p_value
county_factor24015,0.5236828309224111,0.07457236103853503,7.02247888667223,2.5403939537412633e-12
county_factor24017,0.63807977343322,0.07076065194103644,9.01743774159854,2.8953582649843275e-19
county_factor24019,0.2586676997862252,0.0980619422411085,2.6377990673510165,0.00837614396392604
county_factor24021,0.7128684543410652,0.0694025412634556,10.271503627438943,1.8704070358863735e-24
county_factor24023,0.5200134797770868,0.09293195702825433,5.595636812199983,2.3417245108090466e-8
county_factor24025,0.7044544500324895,0.0697847243385535,10.094679841606887,1.1011427776400221e-23
county_factor24027,0.8405427148232727,0.06928446597720862,12.131762913490194,2.6531431129788845e-33
county_factor24029,0.29421045265370976,0.090559773223826745,3.2487984695648673,0.0011682896227392604
county_factor24031,0.9618330056511077,0.06900063362708492,13.939480771283208,3.4821277460041295e-43
county_factor24033,0.8030389111294707,0.06950602539730072,11.553515059151358,2.0870114933154526e-30
county_factor24035,0.71758404195507,0.07875690135975066,9.111379822794767,1.2440834304819458e-19
county_factor24037,0.5743790265293535,0.07135359105261008,8.049756404072994,1.077359760214503e-15
county_factor24039,0.40910201866384077,0.12081478285491935,3.386191730817508,7.153702948224432e-4
county_factor24041,0.6675411359912313,0.07981455703593018,8.36365145384098,8.23787177242958e-17
county_factor24043,0.46641409817753926,0.07266616072617336,6.41858732478133,1.532056365744368e-10
county_factor24045,0.4497626744473676,0.07618887090937736,5.903259479751795,3.852509092637754e-9
county_factor24047,0.703767087085414,0.08098635017210247,8.689946955133212,5.160245337754083e-18
county_factor24510,0.4827158848926519,0.06918332650337164,6.977344243039929,3.492632804254107e-12
log_sqft,0.3547914214674717,0.014810413932108617,23.955537170928935,8.429877643031994e-119
property_age,-8.760867561486251e-5,1.5604180737229217e-4,-0.5614436098259324,0.5745258698776118
grade_factorAverage (4),-0.15760496910035346,0.00945458849257976,-16.669680465103955,2.043729234358639e-60
grade_factorBelow Average (3),-0.32083780419382746,0.014295598081662564,-22.443118669192074,2.6189738516005482e-105
grade_factorEconomy (2),-0.4431872893425884,0.05748504137309424,-7.709610687520899,1.5736183989605713e-14
grade_factorExcellent (8),0.42366137417711364,0.03731503194124124,11.353638256138687,1.9504743677372013e-29
grade_factorGood (6),0.15701203438143593,0.0164639687804799,9.536706275074659,2.4511817837127603e-21
grade_factorLow (1),-0.32032073409917383,0.8581407607848296,-0.373272950938979,0.7089646177175457
grade_factorSuperior (9),0.6442141795243732,0.09042397586688022,7.124373523154613,1.2294472391132817e-12
grade_factorVery Good (7),0.3305199763397594,0.028509899488585382,11.593165260792691,1.3338999883761318e-30
dwelling_type_factorDWEL Condominium Garden Unit (0008),-0.04590521405429482,0.12802263571038916,-0.3585710745570095,0.719934463875574
dwelling_type_factorDWEL Condominium High Rise (0009),-0.09217434210680876,0.19809888426650246,-0.46529460500548103,0.6417452278325162
dwelling_type_factorDWEL Condominium Townhouse (0007),-0.18398892186087978,0.05616195814677641,-3.2760417893556015,0.0010614937939945955
dwelling_type_factorDWEL End Unit (0002),0.03988737931485496,0.01325128323231612,3.0100767311033665,0.0026277333336877347
dwelling_type_factorDWEL Mobile Home (0006),-0.10521372234259663,0.08949100890176448,-1.1756904255944995,0.2397869206900354
dwelling_type_factorDWEL Rental Dwelling (0013),-0.39181716180050336,0.14447258719885253,-2.712051949766809,0.00671473105146268
dwelling_type_factorDWEL Split Foyer (0004),0.2981370026568487,0.015447892834197546,19.29952556356763,1.6627437289659756e-79
dwelling_type_factorDWEL Split Level (0005),0.16763420188990472,0.017433786278938167,9.615478772527132,1.1628530026332758e-21
dwelling_type_factorDWEL Standard Unit (0001),0.2007655703593809,0.011203540493225266,17.919832617267996,3.3965361943662055e-69
